folioviv,foliohog,numren,id_trabajo,tipoact,numprod,codigo,cosecha,destino,cantidad,valestim
0160313412,1,01,1,5,08,280,0,1,1073,13949
0160313412,1,01,1,5,08,280,0,2,22,286
0160313412,1,01,1,5,09,279,0,1,2530,5060
0160313412,1,01,1,5,09,279,0,2,25,50
0160313618,1,04,1,5,04,284,0,1,720,5760
0160313618,1,04,1,5,03,240,0,4,1,6000
0160313618,1,04,1,5,05,294,0,2,72000,42000
0160313919,1,01,1,5,03,284,0,1,480,3840
0160313920,1,01,1,5,03,284,0,1,40,320
0160313920,1,01,1,4,02,088,1,1,50,648
0160313920,1,01,1,4,02,088,1,6,450,5832
0160313920,1,01,1,4,04,098,1,1,20,300
0160313920,1,01,1,5,01,268,0,3,2,50000
0160313920,1,01,1,4,04,098,1,6,60,900
0160313920,1,01,1,4,05,087,1,1,2,20
0160313920,1,01,1,4,05,087,1,6,3,30
0160313921,1,01,1,5,04,284,0,1,648,4860
0160313921,1,01,1,5,05,279,0,1,45,2700
0160313924,1,01,1,5,01,268,0,6,3,45000
0160314019,1,01,1,5,03,284,0,2,1120,8960
0160314022,1,01,1,4,03,194,1,6,300000,360000
0160314511,1,01,1,5,08,246,0,1,1,3500
0160314511,1,01,1,5,05,279,0,6,4,240
0160314511,1,01,1,5,06,284,0,1,244,1952
0160314511,1,01,1,5,07,262,0,6,8,280
0160314511,1,01,1,5,04,250,0,6,4,800
0160314511,1,01,1,5,05,279,0,1,80,4800
0160314511,1,01,1,5,09,251,0,1,1,200
0160314815,1,02,2,5,03,274,0,1,1225,3675
0160314815,1,02,2,5,03,274,0,6,240,720
0160315203,1,01,1,5,05,279,0,1,100,5000
0160315203,1,01,1,5,02,284,0,1,672,4704
0160315205,1,01,1,5,04,279,0,1,159,7980
0160315205,1,01,1,5,02,284,0,1,1344,9408
0160316021,1,03,2,5,04,279,0,1,70,2800
0160316023,1,03,2,5,03,279,0,1,48,1920
0160316024,1,01,2,5,04,279,0,6,192,7680
0160316024,1,01,2,5,04,279,0,1,96,3840
0160317512,1,02,1,5,05,284,0,6,1400,9800
0160317512,1,02,1,5,05,284,0,1,2800,19600
0160318022,1,01,1,4,03,098,1,1,750,750
0160318022,1,01,1,4,01,140,1,1,2000,10000
0160318813,1,01,1,4,01,140,1,1,500,1750
0160318813,1,01,1,4,01,140,1,6,500,1750
0160318813,1,01,1,5,03,284,0,2,5400,32400
0160319305,1,01,1,4,02,098,1,1,50,1050
0160319305,1,01,1,4,01,140,1,1,50,1470
0160320410,1,01,2,4,01,098,1,1,50,1350
0160321507,1,01,1,5,05,279,0,6,5,250
0160321507,1,01,1,5,05,279,0,1,12,600
0160321507,1,01,1,5,04,251,0,6,2,300
0160321507,1,01,1,5,03,250,0,6,2,100
0160321507,1,01,1,5,03,250,0,1,15,750
0160322407,1,01,2,5,04,284,0,2,620,9300
0160322409,1,03,1,5,04,284,0,1,365,5475
0160322409,1,03,1,5,08,279,0,1,66,3240
0160322409,1,03,1,5,06,250,0,1,12,120
0160322409,1,03,1,5,04,284,0,2,20075,301125
0160325608,1,01,1,4,01,161,1,1,80,160
0160325608,1,01,1,4,01,161,1,6,40,80
0160329614,1,01,1,4,01,161,1,6,350,910
0160329614,1,01,1,4,01,161,1,1,175,455
0160331410,1,02,1,5,04,284,0,6,245400,736200
0160331410,1,02,1,5,04,284,0,4,4600,13800
0160331410,1,02,1,5,03,240,0,1,1,3000
0160335412,1,04,1,5,01,240,0,4,3,30000
0160335412,1,04,1,5,01,240,0,7,3,30000
0160335919,1,01,1,4,01,141,1,1,5000,25000
0160336512,1,02,1,4,01,133,1,6,250,7
0160336512,1,02,1,4,01,133,1,1,750,23
0160336512,1,02,1,5,02,279,0,1,3,144
0160336512,1,02,1,5,01,250,0,1,3,150
0160336512,1,02,1,4,02,153,1,6,220,12
0160336512,1,02,1,4,02,153,1,1,750,38
0160337405,1,01,1,5,04,284,0,2,3459,34590
0160337405,1,01,1,5,04,284,0,1,208,3120
0160337816,1,02,1,5,04,284,0,1,504,2772
0160340713,1,01,1,4,01,098,1,1,30,1410
0160340713,1,01,1,4,02,088,1,1,30,30
0160340713,1,01,1,4,02,088,1,6,1,10
0160340713,1,01,1,5,01,241,0,1,1,1000
0160340714,1,01,2,4,02,098,1,1,40,1200
0160342022,1,02,1,5,04,279,0,6,8,620
0160342022,1,02,1,5,04,279,0,1,57,4280
0160342509,1,01,1,4,02,088,1,6,1000,1000
0160343411,1,01,2,5,06,284,0,1,120,1800
0160343411,1,01,2,5,05,249,0,2,252200,378000
0160344305,1,01,1,5,03,284,0,1,300,1500
0160344305,1,01,1,5,03,284,0,2,3000,15000
0160344815,1,01,1,5,04,284,0,1,730,5840
0160344815,1,01,1,5,04,284,0,2,900,7200
0160345201,1,01,1,5,06,279,0,1,8,320
0160345510,1,01,1,5,04,284,0,2,3968,31744
0160346402,1,01,2,5,02,279,0,1,600,2100
0160347923,1,03,1,5,02,294,0,2,1000,3500
0160347923,1,03,1,4,02,088,1,1,100,1750
0160349019,1,01,1,5,04,284,0,1,366,2928
0160349019,1,01,1,5,04,284,0,2,124,992
0160349510,1,01,2,5,08,280,0,1,104,7280
0160349512,1,01,1,4,03,194,1,6,200,200
0160349512,1,01,1,4,01,098,1,1,40,1120
0160349716,1,01,1,5,03,284,0,1,1100,8250
0160349716,1,01,1,5,02,240,0,7,400,20000
0160349716,1,01,1,5,02,240,0,4,800,20000
0160349716,1,01,1,5,03,284,0,2,6150,46125
0160349718,1,02,1,5,04,284,0,2,14600,87600
0160349718,1,02,1,5,07,279,0,1,350,2450
0200444716,1,01,1,5,02,250,0,1,2,200
0200444716,1,01,1,5,01,241,0,1,3,1500
0260694304,1,02,1,5,02,240,0,3,10,100000
0260702305,1,01,1,4,01,186,1,1,35,10200
0260702305,1,01,1,4,01,186,1,6,12,3570
0260702305,1,01,1,4,01,186,1,7,5,1530
0260711305,1,01,1,5,02,246,0,7,1,4500
0260711305,1,01,1,5,02,246,0,5,1,4500
0260711305,1,01,1,5,01,241,0,7,2,6000
0260711305,1,01,1,5,01,241,0,1,3,9000
0260711305,1,01,1,5,02,246,0,1,2,9000
0260715301,1,01,1,5,06,284,0,6,196,1372
0260715301,1,01,1,5,06,284,0,2,4353,30471
0260715301,1,01,1,5,06,284,0,1,196,1372
0260715301,1,01,1,5,07,250,0,1,2,400
0260715301,1,01,1,5,08,279,0,1,243,12150
0260715302,1,01,2,5,03,279,0,1,384,11520
0260719713,1,01,1,4,02,010,1,1,7800,24180
0260719713,1,01,1,4,03,194,1,1,4000,8000
0260722206,1,01,2,4,06,161,1,1,2,40
0260722206,1,01,2,4,06,161,1,6,48,960
0260722206,1,01,2,4,07,159,1,1,2,40
0260722206,1,01,2,4,07,159,1,6,98,1960
0260722206,1,01,2,4,08,084,1,1,2,40
0260722206,1,01,2,4,08,084,1,6,23,460
0260722206,1,01,2,4,09,085,1,1,2,40
0260722206,1,01,2,4,09,085,1,6,8,160
0260722206,1,01,2,4,05,029,1,6,8,160
0260722206,1,01,2,4,05,029,1,1,2,40
0260722206,1,01,2,4,04,217,1,6,8,160
0260722206,1,01,2,4,04,217,1,1,2,40
0260722206,1,01,2,4,03,104,1,6,13,260
0260722206,1,01,2,4,03,104,1,1,2,40
0260722206,1,01,2,4,02,112,1,6,8,160
0260722206,1,01,2,4,01,118,1,1,2,40
0260722206,1,01,2,4,02,112,1,1,2,40
0260722920,1,01,1,5,01,241,0,1,1,1500
0260732303,1,01,1,5,02,241,0,1,4,4800
0260732507,1,01,1,5,03,284,0,2,791,9500
0260732817,1,01,1,5,03,284,0,1,108,1080
0260732817,1,01,1,5,03,284,0,2,7212,72120
0260745813,1,01,1,5,02,241,0,1,700,20000
0260745813,1,01,1,5,04,244,0,1,80,3000
0260745813,1,01,1,5,03,250,0,1,12,1800
0260747607,1,02,1,5,03,274,0,1,77,4400
0260747607,1,02,1,5,03,274,0,6,25,1440
0260747608,1,01,2,5,02,279,0,6,8,480
0260747608,1,01,2,5,02,279,0,1,25,1440
0260753201,1,01,1,4,01,161,1,1,20,150
0260759412,1,01,1,4,01,010,1,1,4500,15500
0260772716,1,02,1,4,05,174,1,1,5,150
0260772716,1,02,1,4,04,161,1,1,10,200
0260772716,1,02,1,4,06,040,1,7,8,400
0260772716,1,02,1,5,01,279,0,1,4,300
0260772716,1,02,1,4,03,048,1,1,5,300
0260772716,1,02,1,4,01,211,1,1,7,200
0260772716,1,02,1,4,01,211,1,7,7,200
0260772716,1,02,1,4,02,005,1,1,6,300
0260796202,1,03,1,9,03,502,0,1,120,1920
0260796202,1,03,1,9,01,593,0,1,240,6720
0260796202,1,03,1,9,01,593,0,6,120,3360
0260801018,1,01,1,5,03,279,0,1,5,310
0260801018,1,01,1,5,04,250,0,6,130,19500
0260803202,1,03,2,5,01,241,0,6,2,5600
0260803202,1,03,2,5,04,279,0,1,2,162
0260803202,1,03,2,5,04,279,0,6,4,324
0260803202,1,03,2,5,01,241,0,1,4,11200
0300808924,1,03,1,4,02,132,1,1,16,480
0300808924,1,03,1,4,01,161,1,1,8,200
0361113202,1,02,1,9,01,573,0,6,6,180
0361113202,1,02,1,9,04,509,0,6,4,600
0361113202,1,02,1,9,04,509,0,1,5,750
0361113202,1,02,1,9,03,561,0,6,40,1400
0361113202,1,02,1,9,03,561,0,1,30,1050
0361113202,1,02,1,9,02,541,0,6,5,200
0361113202,1,02,1,9,01,573,0,1,10,300
0361113202,1,02,1,9,02,541,0,1,5,200
0361113203,1,02,1,9,01,561,0,6,288,11520
0361113206,1,01,1,9,01,561,0,6,144,5040
0361113206,1,01,1,9,01,561,0,4,144,5040
0361113206,1,01,1,9,01,561,0,1,144,5040
0361113206,1,01,1,9,02,485,0,6,40,960
0361113206,1,01,1,9,02,485,0,1,48,1152
0361113407,1,01,1,5,01,272,0,6,1,382
0361113407,1,01,1,5,01,272,0,1,1,382
0361113409,1,02,1,9,01,504,0,1,1,20
0361113613,1,01,1,5,01,272,0,6,500,1500
0361113613,1,01,1,5,01,272,0,1,1000,3000
0361113613,1,02,1,5,01,272,0,1,1500,4500
0361113613,1,02,1,5,01,272,0,6,1500,4500
0361113615,1,03,1,9,01,566,0,1,8,240
0361113822,1,01,1,9,01,485,0,1,300,300
0361113823,1,02,1,4,01,010,1,4,39600,105600
0361113824,1,03,1,5,01,272,0,7,500,1750
0361113824,1,03,1,5,01,272,0,6,1000,3500
0361113824,1,03,1,5,01,272,0,1,1000,3500
0361114304,1,02,1,4,02,074,1,1,4,240
0361114304,1,02,1,4,01,115,1,1,5,250
0361114304,1,02,1,4,03,140,1,1,6,108
0361114507,1,02,2,5,03,283,0,2,2970,59400
0361114507,1,02,2,5,02,274,0,1,10,7000
0361114508,1,01,1,4,02,088,1,6,48,192
0361114508,1,01,1,5,03,240,0,1,1,1500
0361114508,1,01,1,4,02,088,1,1,60,240
0361114713,1,01,1,4,01,115,1,6,60,4200
0361114713,1,01,1,4,05,198,1,1,50,500
0361114713,1,01,1,4,02,074,1,6,60,3000
0361114713,1,01,1,4,03,140,1,1,30,180
0361114713,1,01,1,4,03,140,1,6,100,600
0361114713,1,01,1,4,04,098,1,1,5,250
0361114713,1,01,1,4,04,098,1,6,15,750
0361114713,1,01,1,4,01,115,1,1,10,700
0361114713,1,01,1,5,03,279,0,6,7,840
0361114713,1,01,1,5,03,279,0,5,1,120
0361114713,1,01,1,5,03,279,0,1,27,1890
0361114713,1,01,1,5,02,250,0,1,10,1200
0361114713,1,01,1,5,01,246,0,1,3,18000
0361114713,1,01,1,4,05,198,1,6,100,1000
0361114713,1,01,1,4,02,074,1,1,10,500
0361114714,1,01,1,5,02,268,0,1,1,10000
0361114714,1,01,1,5,01,246,0,1,1,4000
0361114714,1,01,1,4,02,115,1,6,5,300
0361114714,1,01,1,4,02,115,1,5,5,300
0361114714,1,01,1,4,02,115,1,1,30,1800
0361114714,1,01,1,4,01,140,1,6,30,225
0361114714,1,01,1,4,01,140,1,1,60,450
0361114714,1,01,1,4,01,140,1,5,10,75
0361114717,1,01,1,4,03,140,1,1,5,35
0361114717,1,01,1,4,01,115,1,1,5,350
0361114717,1,01,1,4,01,115,1,6,5,350
0361114717,1,01,1,4,01,115,1,7,10,700
0361114717,1,01,1,4,02,005,1,1,2,70
0361114717,1,01,1,4,04,198,1,1,30,210
0361114717,1,01,1,4,03,140,1,7,5,35
0361114717,1,01,1,4,03,140,1,6,10,70
0361114717,1,01,1,4,02,005,1,7,8,440
0361114717,1,01,1,4,02,005,1,6,5,275
0361115202,1,01,1,5,10,279,0,6,24,2880
0361115202,1,01,1,5,08,284,0,1,9000,90000
0361115202,1,01,1,5,02,244,0,1,4,6000
0361115202,1,01,1,5,10,279,0,1,24,2880
0361115202,1,01,1,5,08,284,0,6,9000,40000
0361115204,1,01,1,5,01,246,0,3,1,5250
0361115204,1,01,1,5,01,246,0,1,1,5250
0361115205,1,01,1,4,01,161,1,1,48,2400
0361115205,1,01,1,4,01,161,1,6,60,3000
0361115507,1,01,1,5,04,284,0,1,1098,12078
0361115507,1,01,1,5,02,240,0,1,1,8000
0361116204,1,02,1,5,02,279,0,6,5,200
0361116204,1,02,1,5,02,279,0,1,15,600
0361116618,1,01,1,4,01,010,1,1,10440,36000
0361117508,1,01,1,9,02,592,0,6,250,6750
0361117508,1,01,1,9,01,547,0,1,40,2400
0361117508,1,01,1,9,02,592,0,1,80,2160
0361117508,1,01,1,9,01,547,0,6,50,3000
0361117508,1,01,1,9,03,504,0,1,120,12000
0361117508,1,01,1,9,03,504,0,6,120,12000
0361117512,1,03,1,9,01,561,0,1,60,2400
0361117512,1,03,1,9,01,561,0,6,120,4800
0361117713,1,02,1,9,01,531,0,1,100,2000
0361117713,1,02,1,9,02,559,0,1,100,1500
0361117713,1,02,1,9,03,548,0,1,100,1500
0361117713,1,02,1,9,04,504,0,1,100,12000
0361117713,1,02,1,9,05,566,0,1,100,8000
0361118411,1,01,1,9,01,504,0,3,100,15000
0361118411,1,01,1,9,01,504,0,4,200,30000
0361118411,1,01,1,9,01,504,0,1,300,45000
0361118411,1,01,1,9,01,504,0,6,100,15000
0361118411,1,01,1,9,05,489,0,1,15,1800
0361118411,1,01,1,9,02,511,0,6,50,1200
0361118411,1,01,1,9,03,592,0,1,10,250
0361118411,1,01,1,9,03,592,0,6,40,1000
0361118411,1,01,1,9,02,511,0,1,20,480
0361122301,1,01,1,5,02,244,0,2,15,15000
0361122301,1,01,1,5,02,244,0,1,12,12000
0361122301,1,01,1,5,03,240,0,1,1,6000
0361122302,1,01,1,5,03,244,0,1,220,6000
0361122302,1,01,1,5,01,268,0,7,300,10000
0361122302,1,01,1,5,05,250,0,1,9,600
0361122305,1,01,1,5,03,244,0,1,3,4500
0361122305,1,01,1,5,04,284,0,1,620,7440
0361122305,1,01,1,5,01,268,0,1,1,8000
0361122305,1,01,1,5,02,240,0,6,1,7000
0361122306,1,01,1,5,01,268,0,1,300,10000
0361122306,1,01,1,5,03,244,0,1,350,7000
0361122306,1,01,1,5,04,274,0,1,30,1000
0361122306,1,01,1,5,03,244,0,6,50,1000
0361122507,1,01,1,5,02,244,0,1,3,3000
0361122507,1,01,1,5,02,244,0,6,1,1000
0361122508,1,01,1,5,02,268,0,7,7,70000
0361122508,1,01,1,5,01,244,0,1,7,10500
0361122508,1,01,1,5,01,244,0,6,2,3000
0361122508,1,01,1,5,02,268,0,4,3,30000
0361122508,1,01,1,5,02,268,0,5,2,20000
0361122509,1,01,1,5,03,244,0,1,5,7500
0361122509,1,01,1,5,03,244,0,4,15,22500
0361122509,1,01,1,5,06,284,0,1,248,2976
0361122510,1,01,1,5,02,244,0,5,1,1500
0361122510,1,01,1,5,02,244,0,1,4,10000
0361122510,1,01,1,5,02,244,0,4,3,9000
0361122713,1,01,1,5,03,283,0,2,7640,76400
0361122713,1,01,1,5,03,283,0,1,40,400
0361122713,1,01,1,5,02,274,0,1,2,1600
0361122713,1,01,1,5,01,244,0,1,2,5000
0361122715,1,01,1,5,09,283,0,2,4190,41900
0361122715,1,01,1,5,09,283,0,1,10,100
0361122715,1,01,1,5,08,284,0,2,1890,18900
0361122715,1,01,1,5,08,284,0,1,10,100
0361122715,1,01,1,5,07,274,0,6,3,1500
0361122715,1,01,1,5,07,274,0,1,5,2500
0361122715,1,01,1,5,06,244,0,1,2,2400
0361122715,1,01,1,4,01,200,1,6,20,240
0361122716,1,02,1,5,08,283,0,2,7260,72600
0361122716,1,02,1,5,08,283,0,1,40,400
0361122716,1,02,1,5,07,284,0,2,3660,36600
0361122716,1,02,1,5,04,244,0,1,6,6000
0361122716,1,02,1,5,05,274,0,1,1,500
0361122717,1,03,1,5,06,274,0,1,2,1000
0361122717,1,03,1,5,05,244,0,1,4,4800
0361122717,1,03,1,5,09,283,0,1,25,250
0361122717,1,03,1,5,09,283,0,2,4095,40950
0361122718,1,01,1,5,07,283,0,1,365,3650
0361122718,1,01,1,5,07,283,0,2,10535,105350
0361122718,1,01,1,5,06,274,0,6,3,1500
0361122718,1,01,1,5,05,244,0,1,6,9000
0361122718,1,01,1,5,05,244,0,6,1,1500
0361122718,1,01,1,5,06,274,0,1,2,1000
0361122718,1,01,1,5,01,268,0,1,1,9000
0361122919,1,01,1,5,06,283,0,2,3240,38880
0361122919,1,01,1,5,06,283,0,1,360,4320
0361122919,1,01,1,5,02,244,0,1,10,15000
0361122919,1,01,1,5,02,244,0,6,1,10000
0361122920,1,01,1,5,01,268,0,6,1,10000
0361122920,1,01,1,5,02,244,0,6,4,6000
0361122920,1,01,1,5,03,240,0,6,1,6000
0361122920,1,01,1,5,02,244,0,1,5,7500
0361122921,1,01,1,5,01,268,0,1,5,60000
0361122921,1,01,1,5,01,268,0,4,2,24000
0361122921,1,01,1,5,02,244,0,1,5,6000
0361122921,1,01,1,5,02,244,0,3,4,4800
0361122921,1,01,1,5,02,244,0,4,10,12000
0361122921,1,01,1,5,02,244,0,6,5,6000
0361122922,1,01,1,5,03,283,0,2,8100,162000
0361122922,1,01,1,5,02,274,0,6,1,600
0361122923,1,01,1,5,02,244,0,7,10,12000
0361122923,1,01,1,5,02,244,0,1,10,12000
0361122923,1,01,1,5,01,268,0,7,3,30000
0361122923,1,01,1,5,01,268,0,3,4,40000
0361122923,1,01,1,5,01,268,0,1,3,30000
0361122923,1,01,1,5,06,283,0,1,240,5040
0361122923,1,01,1,5,06,283,0,2,9360,112320
0361122923,1,01,1,5,02,244,0,3,25,30000
0361122924,1,01,1,5,07,283,0,2,720,8640
0361122924,1,01,1,5,02,244,0,7,5,6000
0361122924,1,01,1,5,07,283,0,1,360,4320
0361122924,1,01,1,5,02,244,0,4,8,9600
0361122924,1,01,1,5,02,244,0,3,10,12000
0361122924,1,01,1,5,02,244,0,1,4,4800
0361122924,1,01,1,5,01,268,0,7,1,12000
0361122924,1,01,1,5,01,268,0,4,1,12000
0361122924,1,01,1,5,01,268,0,3,1,12000
0361122924,1,01,1,5,01,268,0,1,2,24000
0361125717,1,01,1,4,01,010,1,6,300,1300
0361129202,1,01,1,4,01,159,1,1,500,5000
0361129202,1,01,1,4,01,159,1,6,10,100
0361129202,1,01,1,4,02,118,1,1,20,200
0361129202,1,01,1,4,02,118,1,6,10,1000
0361129202,1,01,1,4,02,118,1,7,20,2000
0361129613,1,01,1,4,04,217,1,1,10,250
0361129613,1,01,1,4,04,217,1,6,5,125
0361129613,1,01,1,4,03,159,1,6,20,160
0361129613,1,01,1,4,03,159,1,1,20,160
0361129613,1,01,1,4,02,146,1,6,20,160
0361129613,1,01,1,4,02,146,1,1,20,160
0361129613,1,01,1,4,01,118,1,1,10,2250
0361129613,1,01,1,4,01,118,1,6,10,2250
0361129614,1,01,1,4,01,159,1,1,200,1200
0361129614,1,01,1,4,04,054,1,6,2,80
0361129614,1,01,1,5,01,250,0,1,6,1800
0361129614,1,01,1,5,03,279,0,1,5,550
0361129614,1,01,1,4,01,159,1,6,200,1200
0361129614,1,01,1,4,03,088,1,6,6,120
0361129614,1,01,1,4,03,088,1,1,18,360
0361129614,1,01,1,4,02,140,1,1,10,60
0361129614,1,01,1,4,04,054,1,1,5,200
0361129616,1,01,2,4,01,159,1,1,300,2400
0361129616,1,01,2,4,01,159,1,6,300,2400
0361135508,1,04,1,5,09,284,0,2,4560,114000
0361135508,1,04,1,5,05,241,0,1,1,1500
0361135508,1,04,1,5,09,284,0,1,360,9000
0361135511,1,01,1,5,07,284,0,2,3570,89250
0361135512,1,03,1,5,04,284,0,2,3290,296100
0361135512,1,01,1,5,05,284,0,1,800,20000
0361135512,1,01,1,5,05,284,0,2,3610,90250
0361135512,1,01,1,5,05,284,0,4,70,1750
0361135512,1,03,1,5,04,284,0,1,840,21000
0361135512,1,03,1,5,04,284,0,4,350,8750
0361135816,1,01,1,5,07,284,0,1,660,9900
0361136203,1,01,1,4,01,049,1,6,20,500
0361136203,1,01,1,4,02,140,1,1,50,300
0361136203,1,01,1,4,03,194,1,1,250,750
0361136203,1,01,1,5,03,241,0,1,3,3000
0361136203,1,01,1,4,01,049,1,1,80,2000
0361136409,1,01,2,5,01,268,0,1,20,220000
0361136410,1,01,1,5,03,244,0,1,10,12000
0361136410,1,01,1,5,03,244,0,7,20,24000
0361136412,1,01,2,5,02,244,0,1,6,7200
0361136919,1,01,1,5,04,283,0,2,3600,43200
0361136919,1,01,1,5,03,244,0,6,3,4500
0361136921,1,01,1,5,02,244,0,6,3,3000
0361136921,1,01,1,5,02,244,0,1,3,3000
0361136921,1,01,1,5,02,244,0,3,5,5000
0361136922,1,01,2,5,02,274,0,6,12,6960
0361136922,1,01,2,5,01,244,0,6,13,9750
0361136923,1,01,1,5,02,274,0,1,3,1800
0361136924,1,01,1,5,03,283,0,1,1200,9600
0361136924,1,01,1,5,01,268,0,4,1,8000
0361136924,1,01,1,5,02,244,0,7,5,4000
0361136924,1,01,1,5,02,244,0,1,10,8000
0361137024,1,01,2,5,01,246,0,1,2,6000
0361137024,1,01,2,5,01,246,0,6,4,12000
0361137024,1,01,2,4,01,003,1,1,20,1000
0361137024,1,01,2,4,01,003,1,6,20,1000
0361137301,1,01,1,5,03,244,0,1,1,2000
0361137301,1,01,1,5,06,279,0,1,104,5200
0361137301,1,01,1,5,07,283,0,1,365,9125
0361137301,1,01,1,5,01,268,0,1,1,9000
0361137301,1,01,1,5,05,250,0,1,2,200
0361137302,1,01,1,5,04,279,0,1,144,7200
0361137303,1,01,1,5,04,279,0,1,85,4000
0361137303,1,01,1,5,03,250,0,1,2,160
0361137306,1,01,1,5,01,241,0,6,1,2000
0361137306,1,01,1,5,02,244,0,1,1,2000
0361137306,1,01,1,5,07,279,0,1,115,5750
0361137306,1,01,1,5,02,244,0,6,1,2000
0361137306,1,01,1,5,01,241,0,1,3,6000
0361137608,1,01,1,5,03,284,0,1,150,6000
0361137610,1,01,1,5,04,284,0,1,240,7200
0361137610,1,01,1,5,04,284,0,2,700,21000
0361137611,1,01,1,5,04,279,0,1,180,900
0361137816,1,05,1,5,06,250,0,1,8,1600
0361137816,1,05,1,5,07,279,0,1,74,4107
0361137816,1,05,2,4,02,146,1,6,125,850
0361137816,1,05,2,4,01,003,1,1,50,2500
0361137816,1,05,2,4,01,003,1,6,50,2500
0361137816,1,05,2,4,02,146,1,1,125,850
0361137816,1,05,2,4,03,159,1,6,20,20
0361137816,1,05,2,4,03,159,1,1,20,20
0361137816,1,05,1,5,03,241,0,1,3,4500
0361137816,1,05,1,5,05,254,0,1,2,1200
0361137816,1,05,1,5,07,279,0,2,90,4995
0361138405,1,01,1,9,03,585,0,6,5,50
0361138405,1,01,1,9,03,585,0,1,10,100
0361138405,1,01,1,9,01,554,0,6,3,60
0361138405,1,01,1,9,01,554,0,1,10,200
0361138607,1,01,1,9,01,510,0,6,27,8100
0361138607,1,01,1,9,01,510,0,1,18,5400
0361138608,1,01,2,5,03,240,0,6,1,12000
0361138609,1,01,1,9,01,510,0,1,48,14400
0361138611,1,01,1,9,02,548,0,1,240,14400
0361138611,1,01,1,9,01,510,0,1,30,9000
0361138612,1,02,1,9,01,502,0,6,40,3600
0361138612,1,02,1,9,03,522,0,1,30,360
0361138612,1,02,1,9,01,502,0,1,20,1800
0361139817,1,01,1,9,04,520,0,7,150,3750
0361139817,1,01,1,9,04,520,0,1,100,2500
0361139817,1,01,1,9,04,520,0,6,250,6250
0361139817,1,01,1,9,03,502,0,7,70,3500
0361139817,1,01,1,9,03,502,0,6,60,3000
0361139817,1,01,1,9,03,502,0,1,70,3500
0361139817,1,01,1,9,02,566,0,7,20,1400
0361139817,1,01,1,9,02,566,0,6,20,1400
0361139817,1,01,1,9,01,522,0,1,100,4500
0361139817,1,01,1,9,01,522,0,6,200,9000
0361139817,1,01,1,9,01,522,0,7,200,9000
0361139817,1,01,1,9,02,566,0,1,10,700
0361141508,1,01,1,5,04,246,0,1,2,7000
0361141715,1,01,1,4,01,152,1,3,60,1680
0361141715,1,01,1,4,01,152,1,1,50,1400
0361143306,1,02,1,5,03,283,0,2,91,450200
0361143306,1,02,1,5,03,283,0,1,91,4550
0361143306,1,02,1,5,03,283,0,6,20,1000
0361143715,1,01,1,5,05,284,0,2,4800,115200
0361144021,1,02,1,5,04,244,0,1,1,2200
0361144021,1,02,1,5,07,283,0,2,552,13800
0361144021,1,02,1,5,07,283,0,1,48,1200
0361144023,1,01,1,5,05,284,0,1,90,4500
0361144023,1,01,1,5,05,284,0,2,720,36000
0361144023,1,01,1,5,06,283,0,1,90,4500
0361144023,1,01,1,5,06,283,0,2,1710,85500
0361144023,1,01,1,5,07,279,0,1,288,1440
0361144024,1,02,2,5,02,283,0,1,250,12500
0361144024,1,02,2,5,01,244,0,2,25,35000
